pre,id,Cuenta,Penloc_Label,Penloc_context0
P_G,300,Intereses,penloc2-econ-gast-cuentas:DeDeudaPublicaEnEuros_Intereses,penloc2-econ-gast-importes:PrevisionInicial
P_G,301,"Gastos de emisión, modificación y cancelación",penloc2-econ-gast-cuentas:DeDeudaPublicaEnEuros_GastosDeEmisionModificacionYCancelacion,penloc2-econ-gast-importes:PrevisionInicial
P_G,309,Otros gastos financieros de Deuda Pública en euros,penloc2-econ-gast-cuentas:OtrosGastosFinancierosDeDeudaPublicaEnEuros,penloc2-econ-gast-importes:PrevisionInicial
P_G,31,De préstamos y otras operaciones financieras en euros,penloc2-econ-gast-cuentas:DePrestamosYOtrasOperacionesFinancierasEnEuros,penloc2-econ-gast-importes:PrevisionInicial
P_G,310,Intereses,penloc2-econ-gast-cuentas:DePrestamosYOtrasOperacionesFinancierasEnEuros_Intereses,penloc2-econ-gast-importes:PrevisionInicial
P_G,311,"Gastos de formalización, modificación y cancelación",penloc2-econ-gast-cuentas:DePrestamosYOtrasOperacionesFinancierasEnEuros_GastosDeFormalizacionModificacionYCancelacion,penloc2-econ-gast-importes:PrevisionInicial
P_G,319,Otros gastos financieros de préstamos y otras operaciones financieras en euros,penloc2-econ-gast-cuentas:OtrosGastosFinancierosDePrestamosYOtrasOperacionesFinancierasEnEuros,penloc2-econ-gast-importes:PrevisionInicial
P_G,32,De Deuda Pública en moneda distinta del euro,penloc2-econ-gast-cuentas:DeDeudaPublicaEnMonedaDistintaDelEuro,penloc2-econ-gast-importes:PrevisionInicial
P_G,320,Intereses,penloc2-econ-gast-cuentas:DeDeudaPublicaEnMonedaDistintaDelEuro_Intereses,penloc2-econ-gast-importes:PrevisionInicial
P_G,321,"Gastos de emisión, modificación y cancelación",penloc2-econ-gast-cuentas:DeDeudaPublicaEnMonedaDistintaDelEuro_GastosDeEmisionModificacionYCancelacion,penloc2-econ-gast-importes:PrevisionInicial
