pre,id,Cuenta,Penloc_Label,Penloc_context0
P_I,351,Para el establecimiento o ampliación de servicios,penloc2-econ-ingr-cuentas:ParaElEstablecimientoOAmpliacionDeServicios,penloc2-econ-ingr-importes:PrevisionInicial
P_I,36,Ventas,penloc2-econ-ingr-cuentas:Ventas,penloc2-econ-ingr-importes:PrevisionInicial
P_I,38,Reintegros de operaciones corrientes,penloc2-econ-ingr-cuentas:ReintegrosDeOperacionesCorrientes,penloc2-econ-ingr-importes:PrevisionInicial
P_I,380,Reintegro de avales,penloc2-econ-ingr-cuentas:ReintegroDeAvales,penloc2-econ-ingr-importes:PrevisionInicial
P_I,389,Otros reintegros de operaciones corrientes,penloc2-econ-ingr-cuentas:OtrosReintegrosDeOperacionesCorrientes,penloc2-econ-ingr-importes:PrevisionInicial
P_I,39,Otros ingresos,penloc2-econ-ingr-cuentas:OtrosIngresos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,391,Multas,penloc2-econ-ingr-cuentas:Multas,penloc2-econ-ingr-importes:PrevisionInicial
P_I,391.00,Multas por infracciones urbanísticas,penloc2-econ-ingr-cuentas:MultasPorInfraccionesUrbanisticas,penloc2-econ-ingr-importes:PrevisionInicial
P_I,391.10,Multas por infracciones tributarias y análogas,penloc2-econ-ingr-cuentas:MultasPorInfraccionesTributariasYAnalogas,penloc2-econ-ingr-importes:PrevisionInicial
P_I,391.20,Multas por infracciones de la Ordenanza de circulación,penloc2-econ-ingr-cuentas:MultasPorInfraccionesDeLaOrdenanzaDeCirculacion,penloc2-econ-ingr-importes:PrevisionInicial
P_I,391.90,Otras multas y sanciones,penloc2-econ-ingr-cuentas:OtrasMultasYSanciones,penloc2-econ-ingr-importes:PrevisionInicial
P_I,392,Recargos del periodo ejecutivo y por declaración extemporánea sin requerimiento previo,penloc2-econ-ingr-cuentas:RecargosDelPeriodoEjecutivoYPorDeclaracionExtemporaneaSinRequerimientoPrevio,penloc2-econ-ingr-importes:PrevisionInicial
P_I,392.00,Recargos por declaración extemporánea sin requerimiento previo,penloc2-econ-ingr-cuentas:RecargosPorDeclaracionExtemporaneaSinRequerimientoPrevio,penloc2-econ-ingr-importes:PrevisionInicial
P_I,392.10,Recargo ejecutivo,penloc2-econ-ingr-cuentas:RecargoEjecutivo,penloc2-econ-ingr-importes:PrevisionInicial
P_I,392.11,Recargo de apremio,penloc2-econ-ingr-cuentas:RecargoDeApremio,penloc2-econ-ingr-importes:PrevisionInicial
P_I,393,Intereses de demora,penloc2-econ-ingr-cuentas:EconomicaIngresos_TasasPreciosPublicosYOtrosIngresos_OtrosIngresos_InteresesDeDemora,penloc2-econ-ingr-importes:PrevisionInicial
P_I,394,Prestación personal,penloc2-econ-ingr-cuentas:PrestacionPersonal,penloc2-econ-ingr-importes:PrevisionInicial
P_I,395,Prestación de transporte,penloc2-econ-ingr-cuentas:PrestacionDeTransporte,penloc2-econ-ingr-importes:PrevisionInicial
